ticker,event,event_start,event_end,plotted,pre_avg_daily_ret,event_total_ret,post_avg_daily_ret,n_days_pre,n_days_event,n_days_post
NVDA,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,0.0015339807867971165,-0.15720854605403756,-0.0004202315824519285,20,30,20
NZDUSD=X,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,0.00197000626954851,-0.06047987333042837,-0.00023861959762080763,20,31,20
PFE,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.004851609925868597,0.01936432943495192,-0.00107088493792508,20,30,20
PG,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.0035073881371462745,-0.09200926443099366,-0.00045559066244482986,20,30,20
RELIANCE.NS,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.0015359597659916865,-0.07845016697551443,0.0004396627710122751,20,30,20
SI=F,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.0029585952559209447,0.059421841128568076,-0.001284298084478124,20,30,20
SUNPHARMA.NS,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.002000429606294829,0.013348800076614209,0.002058709038701285,20,30,20
TCS.NS,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,0.0001783740930652799,-0.05935530166308367,-0.001042452538062738,20,30,20
TSLA,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.004494311183274687,-0.06542814810457309,0.0031405247440811795,20,30,20
USDCAD=X,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.0003286517137013455,-0.01761951212801427,-0.00039543850614205884,20,31,20
USDCHF=X,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.0006447059498577011,-0.012513966749351235,-0.0006519314933224878,20,31,20
USDINR=X,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.00030851346100222165,-0.009748278339770433,-0.0006609573613451468,20,31,20
USDJPY=X,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.00039562818060187674,0.012622641891739672,0.007836884542243235,20,31,20
V,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,-0.00458681153130919,-0.030326786622398183,-0.0018347652485659455,20,30,20
XOM,Russia_Ukraine_2022,2022-02-01,2022-03-15,True,0.009981597297318404,-0.0508100081759143,0.005093587293554095,20,30,20
